
--- DATOS 2019 ---
Buenos Aires | Estatal | 2019 | 1 anio | 2 | 6 | 2 anio | 2 | 8 | 3 anio | 3 | 2 | 4 anio | 3 | 1 | 5 anio | 3 | 3 | 6 anio | 1 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 8 | 20 | 2 anio | 8 | 16 | 3 anio | 10 | 11 | 4 anio | 8 | 11 | 5 anio | 7 | 1 | 6 anio | 1 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 2 | 2 | 2 anio | 2 | 1 | 3 anio | 1 | 3 | 4 anio | 1 | 3 | 5 anio | 1 | 5 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 9 | 27 | 2 anio | 8 | 35 | 3 anio | 8 | 22 | 4 anio | 7 | 12 | 5 anio | 7 | 0 | 6 anio | 2 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 5 | 20 | 2 anio | 6 | 20 | 3 anio | 5 | 17 | 4 anio | 4 | 8 | 5 anio | 4 | 7 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 2 | 11 | 2 anio | 2 | 2 | 3 anio | 2 | 4 | 4 anio | 2 | 3 | 5 anio | 2 | 6 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 9 | 37 | 2 anio | 6 | 25 | 3 anio | 6 | 22 | 4 anio | 6 | 38 | 5 anio | 6 | 18 | 6 anio | 1 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 3 | 6 | 2 anio | 3 | 5 | 3 anio | 3 | 3 | 4 anio | 3 | 4 | 5 anio | 3 | 1 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 8 | 7 | 2 anio | 6 | 11 | 3 anio | 5 | 7 | 4 anio | 5 | 5 | 5 anio | 5 | 5 | 6 anio | 1 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 12 | 59 | 2 anio | 10 | 43 | 3 anio | 9 | 30 | 4 anio | 9 | 17 | 5 anio | 7 | 9 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 252 | 1213 | 2 anio | 239 | 840 | 3 anio | 239 | 671 | 4 anio | 215 | 386 | 5 anio | 199 | 200 | 6 anio | 25 | 0

Buenos Aires | Privado | 2019 | 1 anio | 134 | 140 | 2 anio | 129 | 154 | 3 anio | 125 | 143 | 4 anio | 122 | 130 | 5 anio | 118 | 107 | 6 anio | 2 | 0

